property_id,property_name,category,city
16558,AtliQ Grands,Luxury,Delhi
16559,AtliQ Exotica,Luxury,Mumbai
16560,AtliQ City,Business,Delhi
16561,AtliQ Blu,Luxury,Delhi
16562,AtliQ Bay,Luxury,Delhi
16563,AtliQ Palace,Business,Delhi
17558,AtliQ Grands,Luxury,Mumbai
17559,AtliQ Exotica,Luxury,Mumbai
17560,AtliQ City,Business,Mumbai
17561,AtliQ Blu,Luxury,Mumbai
17562,AtliQ Bay,Luxury,Mumbai
17563,AtliQ Palace,Business,Mumbai
18558,AtliQ Grands,Luxury,Hyderabad
18559,AtliQ Exotica,Luxury,Hyderabad
18560,AtliQ City,Business,Hyderabad
18561,AtliQ Blu,Luxury,Hyderabad
18562,AtliQ Bay,Luxury,Hyderabad
18563,AtliQ Palace,Business,Hyderabad
19558,AtliQ Grands,Luxury,Bangalore
19559,AtliQ Exotica,Luxury,Bangalore
19560,AtliQ City,Business,Bangalore
19561,AtliQ Blu,Luxury,Bangalore
19562,AtliQ Bay,Luxury,Bangalore
19563,AtliQ Palace,Business,Bangalore
17564,AtliQ Seasons,Business,Mumbai
